"","taxon","user_supplied_name","taxon_rank","kingdom","phylum","class","order","family","genus","species","superfamily","paper","subgenus","infraspecies"
"73","Nannophya","Nannophya","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Nannophya",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"74","Acisoma","Acisoma","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Acisoma",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"75","Neurothemis","Neurothemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Neurothemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"76","Onychothemis","Onychothemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Onychothemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"77","Trithemis","Trithemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Trithemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"78","Zygonyx","Zygonyx","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Zygonyx",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"79","Orthemis","Orthemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Orthemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"80","Libellula","Libellula","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"81","Orthetrum","Orthetrum","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Orthetrum",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"82","Hadrothemis","Hadrothemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Hadrothemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
