"","Order","Suborders","Superfamily","Family","OTOL node ID","GenbankTaxonID","GenBank ""Taxonomy""  value (# species in genbank taxonomy)","GenBank ""sp."" (# sp. listed in genbank taxonomy)","GenBank ""spp.""","CoL (or other) number of Species descibed (not # estimated to be known to taxonomists)","% of species in NCBI sequenced","X12","X13","X14","X15","taxon"
"454","Hexapoda: Diptera","Brachycera: Muscomorpha","Diopsoidea","Tanypezidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Tanypezidae"
"455","Hexapoda: Diptera","Brachycera: Muscomorpha","Tephritoidea","Tephritidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Tephritidae"
"456","Hexapoda: Diptera","Brachycera: Muscomorpha","Opomyzoidea","Teratomyzidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Teratomyzidae"
"457","Hexapoda: Diptera","Brachycera: Muscomorpha","Tephritoidea","Ulidiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Ulidiidae"
"458","Hexapoda: Diptera","Brachycera: Muscomorpha","Opomyzoidea","Xenasteiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Xenasteiidae"
"459","Hexapoda: Diptera","Brachycera: Eremoneura","Empidoidea","Brachystomatidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Brachystomatidae"
"460","Hexapoda: Diptera","Brachycera: Eremoneura","Empidoidea","Dolichopodidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Dolichopodidae"
"461","Hexapoda: Diptera","Brachycera: Eremoneura","Empidoidea","Empididae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Empididae"
"462","Hexapoda: Diptera","Brachycera: Eremoneura","Empidoidea","Atelestidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Atelestidae"
"463","Hexapoda: Diptera","Brachycera: Eremoneura","Empidoidea","Homalocnemidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Homalocnemidae"
